site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-05,1,0.0193,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,2,0.0145,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,4,0.0649,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,5,0.0724,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,6,0.0987,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,7,0.0758,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,8,0.0743,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,9,0.0560,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,10,0.0416,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,11,0.0352,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,12,0.0329,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,13,0.0288,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,14,0.0264,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,15,0.0228,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,16,0.0275,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,17,0.0268,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,18,0.0343,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,19,0.0273,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,20,0.0325,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,21,0.0371,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,22,0.0286,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,23,0.0283,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,0,0.0250,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,1,0.0439,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,2,0.0450,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,4,0.0691,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,5,0.1039,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,6,0.1040,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,7,0.1011,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,8,0.0712,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,9,0.0556,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,10,0.0432,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,11,0.0470,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,12,0.0428,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,13,0.0245,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,14,0.0240,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,15,0.0216,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,16,0.0285,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,17,0.0330,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,18,0.0459,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,19,0.0551,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,20,0.0661,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,21,0.0530,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,22,0.0606,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,23,0.0424,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,0,0.0278,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,1,0.0489,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,2,0.0411,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,4,0.0573,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,5,0.0637,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,6,0.0796,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,7,0.0783,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,8,0.0482,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,9,0.0504,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,10,0.0471,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,11,0.0264,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,12,0.0223,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,13,0.0226,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,14,0.0164,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,15,0.0166,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,16,0.0184,NOX,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
