site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-07,23,0.0170,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,0,0.0180,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,1,0.0195,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,2,0.0185,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,4,0.0142,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,5,0.0130,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,6,0.0173,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,7,0.0164,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,8,0.0160,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,9,0.0146,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,10,0.0160,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,11,0.0109,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,12,0.0067,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,13,0.0095,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,14,0.0108,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,15,0.0069,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,16,0.0052,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,17,0.0062,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,18,0.0080,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,19,0.0147,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,20,0.0304,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,21,0.0357,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,22,0.0331,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-08,23,0.0180,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,0,0.0079,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-09,1,0.0014,NO2,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
