site,date,start_hour,value,variable,units,quality,prelim,name 
3810,2017-10-04,19,0.5930,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,20,0.6800,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,21,0.6090,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,22,0.6380,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-04,23,0.6190,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,0,0.5740,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,1,0.5490,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,2,0.4820,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,4,0.9700,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,5,1.0800,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,6,1.4880,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,7,1.1560,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,8,1.0400,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,9,0.8600,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,10,0.6390,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,11,0.5690,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,12,0.5950,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,13,0.5940,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,14,0.5930,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,15,0.5930,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,16,0.6660,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,17,0.6810,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,18,0.7290,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,19,0.6720,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,20,0.7280,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,21,0.7960,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,22,0.7320,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-05,23,0.6880,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,0,0.6060,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,1,0.7990,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,2,0.8140,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,4,1.0200,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,5,1.4810,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,6,1.5560,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,7,1.3040,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,8,0.9570,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,9,0.8040,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,10,0.6750,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,11,0.7180,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,12,0.7340,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,13,0.6130,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,14,0.6000,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,15,0.8050,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,16,0.7630,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,17,0.7590,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,18,0.9240,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,19,1.2340,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,20,1.2790,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,21,1.0620,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,22,1.1600,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-06,23,0.9540,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,0,0.7500,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,1,1.0080,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,2,0.8810,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,4,0.9970,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,5,1.0310,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,6,1.2090,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,7,1.1080,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,8,0.8130,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,9,0.9200,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,10,0.8580,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,11,0.6540,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,12,0.6610,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,13,0.6730,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,14,0.5920,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,15,0.6620,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,16,0.6780,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,17,0.5960,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
3810,2017-10-07,18,0.6630,CO,Parts Per Million ( ppm ),,,San Jose-Knox Avenue                     
